1|Pending|New York|USA|Explore Central Park|English|5/3/2024 10:00:00 AM|5/4/2024 5:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/1/2024 8:30:00 AM
2|Pending|Paris|France|Visit Eiffel Tower|French|5/5/2024 9:30:00 AM|5/6/2024 4:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/2/2024 11:45:00 AM
3|Pending|Tokyo|Japan|Sushi Tasting|Japanese|5/7/2024 1:00:00 PM|5/7/2024 3:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/3/2024 3:20:00 PM
4|Pending|London|UK|Explore British Museum|English|5/8/2024 11:00:00 AM|5/9/2024 4:30:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/4/2024 9:00:00 AM
5|Pending|Sydney|Australia|Harbour Bridge Climb|English|7/10/2024 8:00:00 AM|7/10/2024 12:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|5/5/2024 2:15:00 PM
6|Pending|Berlin|Germany|Berlin Wall Tour|German|5/11/2024 10:00:00 AM|5/11/2024 2:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/6/2024 4:30:00 PM
7|Pending|Rome|Italy|Colosseum Exploration|Italian|5/12/2024 9:00:00 AM|5/13/2024 3:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/7/2024 10:45:00 AM
8|Pending|Rio de Janeiro|Brazil|Christ the Redeemer Tour|Portuguese|5/14/2024 11:00:00 AM|5/15/2024 4:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/8/2024 1:20:00 PM
9|Pending|Cairo|Egypt|Pyramids Visit|Arabic|5/16/2024 8:00:00 AM|5/16/2024 12:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/9/2024 5:55:00 PM
10|Pending|Buenos Aires|Argentina|Tango Dance Experience|Spanish|5/17/2024 7:00:00 PM|5/17/2024 9:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|1/10/2024 8:10:00 AM
11|Pending|New York|USA|Explore Central Park|English|8/3/2024 10:00:00 AM|8/8/2024 5:00:00 PM|1/1/0001 12:00:00 AM|-1|1,2,3|2/1/2024 8:30:00 AM
