1|4|2|5|4/24/2024 12:00:00 AM-4/26/2024 12:00:00 AM||APPROVED|4/14/2024 11:49:01 AM|4/17/2024 12:00:00 AM|4/19/2024 12:00:00 AM
2|4|2|5|4/15/2024 12:00:00 AM-4/17/2024 12:00:00 AM||REJECTED|4/14/2024 11:54:02 AM|4/24/2024 12:00:00 AM|4/26/2024 12:00:00 AM
5|4|2|1|5/1/2024 12:00:00 AM-5/4/2024 12:00:00 AM||PENDING|4/29/2024 7:10:15 PM|4/15/2024 12:00:00 AM|4/18/2024 12:00:00 AM
6|4|2|1|6/4/2024 12:00:00 AM-6/7/2024 12:00:00 AM||PENDING|5/8/2024 6:41:59 PM|4/15/2024 12:00:00 AM|4/18/2024 12:00:00 AM
7|4|2|1|6/12/2024 12:00:00 AM-6/15/2024 12:00:00 AM||APPROVED|5/30/2024 10:58:23 PM|4/15/2024 12:00:00 AM|4/18/2024 12:00:00 AM
8|4|6|32|5/14/2024 12:00:00 AM-5/17/2024 12:00:00 AM||PENDING|5/8/2024 7:47:58 PM|5/8/2024 12:00:00 AM|5/11/2024 12:00:00 AM
9|4|6|32|6/5/2024 12:00:00 AM-6/8/2024 12:00:00 AM||PENDING|5/8/2024 7:48:08 PM|5/8/2024 12:00:00 AM|5/11/2024 12:00:00 AM
10|4|2|41|6/11/2024 12:00:00 AM-6/14/2024 12:00:00 AM||APPROVED|5/30/2024 10:54:19 PM|6/9/2024 12:00:00 AM|6/12/2024 12:00:00 AM
11|4|2|39|6/13/2024 12:00:00 AM-6/14/2024 12:00:00 AM|aaa|REJECTED|5/30/2024 10:52:09 PM|6/6/2024 12:00:00 AM|6/7/2024 12:00:00 AM
12|4|2|52|6/26/2024 12:00:00 AM-6/27/2024 12:00:00 AM||PENDING|5/30/2024 11:35:14 AM|6/13/2024 12:00:00 AM|6/14/2024 12:00:00 AM
13|4|2|52|6/20/2024 12:00:00 AM-6/21/2024 12:00:00 AM||PENDING|5/30/2024 12:28:14 PM|6/13/2024 12:00:00 AM|6/14/2024 12:00:00 AM
